Retailer,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Walmart,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet
Walmart,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet
Walmart,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3,Outlet
Walmart,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25,Outlet
Walmart,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150,747500.0,373750.0,0.5,Outlet
Walmart,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,975,536250.0000000001,160875.00000000003,0.3,Outlet
Walmart,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,920,506000.00000000006,177100.0,0.35,Outlet
Walmart,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250.0,0.35,Outlet
Walmart,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3,Outlet
Walmart,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975,682500.0,170625.0,0.25,Outlet
Walmart,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,1200,780000.0,390000.0,0.5,Outlet
Walmart,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,Outlet
Walmart,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.00000000000001,950,522500.00000000006,182875.0,0.35,Outlet
Walmart,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.00000000000001,900,495000.00000000006,173250.0,0.35,Outlet
Walmart,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900,585000.0,175500.0,0.3,Outlet
Walmart,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25,Outlet
Sports Direct,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000.0,78750.0,0.35,Outlet
Sports Direct,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000.0,110250.0,0.35,Outlet
Sports Direct,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
Sports Direct,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000.0,110250.0,0.45,Outlet
Sports Direct,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,220000.0,66000.0,0.3,Outlet
Sports Direct,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
Sports Direct,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,212500.0,74375.0,0.35,Outlet
Sports Direct,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500.0,104125.0,0.35,Outlet
Sports Direct,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675,236250.0,82687.5,0.35,Outlet
Sports Direct,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750.0,98437.5,0.45,Outlet
Sports Direct,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,200000.0,60000.0,0.3,Outlet
Sports Direct,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet
Sports Direct,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,262500.0,91875.0,0.35,Outlet
Sports Direct,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000.0,122499.99999999999,0.35,Outlet
Sports Direct,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet
Sports Direct,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000.0,108000.0,0.45,Outlet
Sports Direct,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,225000.0,67500.0,0.3,Outlet
Sports Direct,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,260000.0,130000.0,0.5,Outlet
Sports Direct,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,270000.0,94500.0,0.35,Outlet
Sports Direct,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360000.0,125999.99999999999,0.35,Outlet
Sports Direct,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,253750.0,88812.5,0.35,Outlet
Sports Direct,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625,250000.0,112500.0,0.45,Outlet
Walmart,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,236250.0,70875.0,0.3,Outlet
Walmart,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,320000.0,160000.0,0.5,Outlet
Walmart,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,277500.0,97125.0,0.35,Outlet
Walmart,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370000.0,129499.99999999999,0.35,Outlet
Walmart,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,271250.0,94937.5,0.35,Outlet
Walmart,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet
Walmart,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,270000.0,81000.0,0.3,Outlet
Walmart,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,380000.0,190000.0,0.5,Outlet
Walmart,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
Walmart,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,320000.0,112000.0,0.35,Outlet
Walmart,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300000.0,135000.0,0.45,Outlet
Walmart,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,1000,500000.0,250000.0,0.5,Outlet
Walmart,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet
Walmart,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet
Walmart,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet
Walmart,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,315000.0,94500.0,0.3,Outlet
Walmart,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,487500.0,243750.0,0.5,Outlet
Walmart,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,370000.0,129499.99999999999,0.35,Outlet
Walmart,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416250.0,145687.5,0.35,Outlet
Walmart,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet
Walmart,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260000.0,117000.0,0.45,Outlet
Walmart,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,450000.0,225000.0,0.5,Outlet
Walmart,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
Walmart,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,Outlet
Walmart,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet
Walmart,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,140625.0,0.45,Outlet
Walmart,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,281250.0,84375.0,0.3,Outlet
Walmart,2020-09-10,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
Walmart,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet
Walmart,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,360000.0,125999.99999999999,0.35,Outlet
Walmart,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,375000.0,131250.0,0.35,Outlet
Walmart,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,300000.0,135000.0,0.45,Outlet
Walmart,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,258750.0,77625.0,0.3,Outlet
Walmart,2020-09-16,South,Texas,Houston,Women's Apparel,55.00000000000001,750,412500.00000000006,206250.00000000003,0.5,Outlet
Walmart,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,405000.0,141750.0,0.35,Outlet
Walmart,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,405000.0,141750.0,0.35,Outlet
Walmart,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,412500.0,144375.0,0.35,Outlet
Walmart,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,337500.0,151875.0,0.45,Outlet
Walmart,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,2020-10-25,South,Texas,Houston,Women's Apparel,55.00000000000001,850,467500.00000000006,233750.00000000003,0.5,Outlet
Walmart,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet
Walmart,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,425000.0,148750.0,0.35,Outlet
Walmart,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,350000.0,157500.0,0.45,Outlet
Walmart,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet
Walmart,2020-10-31,South,Texas,Houston,Women's Apparel,55.00000000000001,900,495000.00000000006,247500.00000000003,0.5,Outlet
West Gear,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,310000.0,108500.00000000001,0.35000000000000003,Outlet
West Gear,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775,387500.0,77500.0,0.2,Outlet
West Gear,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775,387500.0,135625.0,0.35000000000000003,Outlet
West Gear,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,93750.0,0.3,Outlet
West Gear,2020-11-05,West,California,San Francisco,Men's Apparel,55.00000000000001,575,316250.00000000006,158125.00000000003,0.5,Outlet
West Gear,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,387500.0,58125.00000000001,0.15000000000000002,Outlet
West Gear,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,330000.0,115500.00000000001,0.35000000000000003,Outlet
West Gear,2020-11-08,West,California,San Francisco,Men's Athletic Footwear,50.0,725,362500.0,72500.0,0.2,Outlet
West Gear,2020-11-09,West,California,San Francisco,Women's Street Footwear,50.0,725,362500.0,126875.00000000001,0.35000000000000003,Outlet
West Gear,2020-11-10,West,California,San Francisco,Women's Athletic Footwear,50.0,575,287500.0,86250.0,0.3,Outlet
West Gear,2020-11-11,West,California,San Francisco,Men's Apparel,55.00000000000001,500,275000.00000000006,137500.00000000003,0.5,Outlet
West Gear,2020-11-12,West,California,San Francisco,Women's Apparel,50.0,700,350000.0,52500.00000000001,0.15000000000000002,Outlet
West Gear,2020-11-13,West,California,San Francisco,Men's Street Footwear,50.0,850,425000.0,148750.0,0.35000000000000003,Outlet
West Gear,2020-11-14,West,California,San Francisco,Men's Athletic Footwear,60.0,700,420000.0,84000.0,0.2,Outlet
West Gear,2020-11-15,West,California,San Francisco,Women's Street Footwear,60.0,700,420000.0,147000.0,0.35000000000000003,Outlet
West Gear,2020-12-22,West,California,San Francisco,Women's Athletic Footwear,60.0,600,360000.0,108000.0,0.3,Outlet
West Gear,2020-12-23,West,California,San Francisco,Men's Apparel,65.0,500,325000.0,162500.0,0.5,Outlet
West Gear,2020-12-24,West,California,San Francisco,Women's Apparel,60.0,700,420000.0,63000.00000000001,0.15000000000000002,Outlet
West Gear,2020-12-25,West,California,San Francisco,Men's Street Footwear,60.0,875,525000.0,183750.00000000003,0.35000000000000003,Outlet
West Gear,2020-12-26,West,California,San Francisco,Men's Athletic Footwear,65.0,675,438750.0,87750.0,0.2,Outlet
West Gear,2020-12-27,West,California,San Francisco,Women's Street Footwear,65.0,725,471250.0,164937.50000000003,0.35000000000000003,Outlet
West Gear,2020-12-28,West,California,San Francisco,Women's Athletic Footwear,60.0,625,375000.0,112500.0,0.3,Outlet
West Gear,2020-12-29,West,California,San Francisco,Men's Apparel,65.0,525,341250.0,170625.0,0.5,Outlet
West Gear,2020-12-30,West,California,San Francisco,Women's Apparel,80.0,700,560000.0,84000.00000000001,0.15000000000000002,Outlet
West Gear,2020-12-31,West,California,San Francisco,Men's Street Footwear,60.0,900,540000.0,216000.0,0.4,Outlet
West Gear,2021-01-01,West,California,San Francisco,Men's Athletic Footwear,65.0,750,487500.0,121875.0,0.25,Outlet
West Gear,2021-01-02,West,California,San Francisco,Women's Street Footwear,65.0,750,487500.0,195000.0,0.4,Outlet
West Gear,2021-01-03,West,California,San Francisco,Women's Athletic Footwear,60.0,650,390000.0,136500.0,0.35,Outlet
West Gear,2021-01-04,West,California,San Francisco,Men's Apparel,65.0,550,357500.0,196625.00000000003,0.55,Outlet
West Gear,2021-01-05,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,116000.0,0.2,Outlet
West Gear,2021-01-06,West,California,San Francisco,Men's Street Footwear,60.0,975,585000.0,234000.0,0.4,Outlet
West Gear,2021-01-07,West,California,San Francisco,Men's Athletic Footwear,65.0,825,536250.0,134062.5,0.25,Outlet
West Gear,2021-01-08,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,214500.0,0.4,Outlet
West Gear,2021-01-09,West,California,San Francisco,Women's Athletic Footwear,60.0,700,420000.0,147000.0,0.35,Outlet
West Gear,2021-01-10,West,California,San Francisco,Men's Apparel,65.0,575,373750.0,205562.50000000003,0.55,Outlet
West Gear,2021-01-11,West,California,San Francisco,Women's Apparel,80.0,875,700000.0,140000.0,0.2,Outlet
West Gear,2021-01-12,West,California,San Francisco,Men's Street Footwear,60.0,1025,615000.0,215250.00000000003,0.35000000000000003,Outlet
West Gear,2021-01-13,West,California,San Francisco,Men's Athletic Footwear,65.0,875,568750.0,113750.0,0.2,Outlet
West Gear,2021-01-14,West,California,San Francisco,Women's Street Footwear,65.0,825,536250.0,187687.50000000003,0.35000000000000003,Outlet
West Gear,2021-01-15,West,California,San Francisco,Women's Athletic Footwear,60.0,725,435000.0,130500.0,0.3,Outlet
West Gear,2021-01-16,West,California,San Francisco,Men's Apparel,65.0,775,503750.0,251875.0,0.5,Outlet
West Gear,2021-01-17,West,California,San Francisco,Women's Apparel,80.0,775,620000.0,93000.00000000001,0.15000000000000002,Outlet
West Gear,2021-01-18,West,California,San Francisco,Men's Street Footwear,65.0,975,633750.0,221812.50000000003,0.35000000000000003,Outlet
West Gear,2021-01-19,West,California,San Francisco,Men's Athletic Footwear,70.0,925,647500.0,129500.0,0.2,Outlet
West Gear,2021-01-20,West,California,San Francisco,Women's Street Footwear,65.0,800,520000.0,182000.00000000003,0.35000000000000003,Outlet
West Gear,2021-01-21,West,California,San Francisco,Women's Athletic Footwear,65.0,750,487500.0,146250.0,0.3,Outlet
West Gear,2021-01-22,West,California,San Francisco,Men's Apparel,75.0,750,562500.0,281250.0,0.5,Outlet
West Gear,2021-01-23,West,California,San Francisco,Women's Apparel,80.0,725,580000.0,87000.00000000001,0.15000000000000002,Outlet
West Gear,2021-01-24,West,California,San Francisco,Men's Street Footwear,55.00000000000001,925,508750.00000000006,152625.00000000003,0.30000000000000004,Outlet
West Gear,2021-01-25,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,925,555000.0000000001,83250.00000000001,0.15,Outlet
West Gear,2021-01-26,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet
West Gear,2021-01-27,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,725,398750.00000000006,99687.5,0.24999999999999997,Outlet
West Gear,2021-01-28,West,California,San Francisco,Men's Apparel,65.0,725,471250.0,212062.50000000003,0.45000000000000007,Outlet
West Gear,2021-01-29,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
West Gear,2021-01-30,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
West Gear,2021-01-31,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,2021-02-01,West,California,San Francisco,Women's Street Footwear,55.00000000000001,700,385000.00000000006,115500.00000000003,0.30000000000000004,Outlet
West Gear,2021-02-02,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,675,371250.00000000006,92812.5,0.24999999999999997,Outlet
West Gear,2021-02-03,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.00000000003,0.45000000000000007,Outlet
West Gear,2021-02-04,West,California,San Francisco,Women's Apparel,70.0,700,490000.0,49000.0,0.1,Outlet
West Gear,2021-02-05,West,California,San Francisco,Men's Street Footwear,55.00000000000001,875,481250.00000000006,144375.00000000003,0.30000000000000004,Outlet
West Gear,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,875,525000.0000000001,78750.00000000001,0.15,Outlet
West Gear,2021-02-07,West,California,San Francisco,Women's Street Footwear,55.00000000000001,725,398750.00000000006,119625.00000000003,0.30000000000000004,Outlet
West Gear,2021-02-08,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,700,385000.00000000006,96250.0,0.24999999999999997,Outlet
West Gear,2021-02-09,West,California,San Francisco,Men's Apparel,65.0,650,422500.0,190125.00000000003,0.45000000000000007,Outlet
West Gear,2021-02-10,West,California,San Francisco,Women's Apparel,70.0,775,542500.0,54250.0,0.1,Outlet
West Gear,2021-02-11,West,California,San Francisco,Men's Street Footwear,55.00000000000001,975,536250.0000000001,160875.00000000006,0.30000000000000004,Outlet
West Gear,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,60.00000000000001,975,585000.0000000001,87750.00000000001,0.15,Outlet
West Gear,2021-02-13,West,California,San Francisco,Women's Street Footwear,55.00000000000001,775,426250.00000000006,127875.00000000004,0.30000000000000004,Outlet
West Gear,2021-02-14,West,California,San Francisco,Women's Athletic Footwear,55.00000000000001,775,426250.00000000006,106562.5,0.24999999999999997,Outlet
West Gear,2021-02-15,West,California,San Francisco,Men's Apparel,65.0,700,455000.0,204750.00000000003,0.45000000000000007,Outlet
West Gear,2021-02-16,West,California,San Francisco,Women's Apparel,70.0,800,560000.0,56000.0,0.1,Outlet
Kohl's,2021-02-17,West,California,San Francisco,Men's Street Footwear,35.0,700,245000.0,98000.0,0.4,Outlet
Kohl's,2021-02-18,West,California,San Francisco,Men's Athletic Footwear,45.0,700,315000.0,78750.0,0.25,Outlet
Kohl's,2021-03-09,West,California,San Francisco,Women's Street Footwear,45.0,700,315000.0,126000.0,0.4,Outlet
Kohl's,2021-03-10,West,California,San Francisco,Women's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,Outlet
Kohl's,2021-03-11,West,California,Los Angeles,Men's Apparel,50.0,500,250000.0,137500.0,0.55,Outlet
Kohl's,2021-03-12,West,California,Los Angeles,Women's Apparel,45.0,700,315000.0,63000.0,0.2,Outlet
Kohl's,2021-03-13,West,California,Los Angeles,Men's Street Footwear,35.0,750,262500.0,105000.0,0.4,Outlet
Kohl's,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,2021-03-15,West,California,Los Angeles,Women's Street Footwear,45.0,675,303750.0,121500.0,0.4,Outlet
Kohl's,2021-03-16,West,California,Los Angeles,Women's Athletic Footwear,45.0,525,236250.0,82687.5,0.35,Outlet
Kohl's,2021-03-17,West,California,Los Angeles,Men's Apparel,50.0,450,225000.0,123750.00000000001,0.55,Outlet
Kohl's,2021-03-18,West,California,Los Angeles,Women's Apparel,45.0,650,292500.0,58500.0,0.2,Outlet
Kohl's,2021-03-19,West,California,Los Angeles,Men's Street Footwear,35.0,800,280000.0,112000.0,0.4,Outlet
Kohl's,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,45.0,650,292500.0,73125.0,0.25,Outlet
Kohl's,2021-03-21,West,California,Los Angeles,Women's Street Footwear,45.0,650,292500.0,117000.0,0.4,Outlet
Kohl's,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,45.0,550,247500.0,86625.0,0.35,Outlet
